rule_id,partner,partner_id,bereich,regel_typ,regel,aktion,pflicht,verbot,quelle,status
AMZ_113,amazon,freebasics-21,Restriktion,Umleitung,"Besucher dürfen nicht automatisch an Amazon.de umgeleitet werden. Es ist verboten, die Amazon.de-Seite automatisch in einem Frame oder einem neuen Browserfenster zu öffnen, ohne dass der Besucher zuvor explizit auf einen Link geklickt hat.","Automatische Weiterleitungen, Framing oder automatisches Öffnen von Fenster/Browser-Tabs unterlassen",NEIN,JA,Amazon Hilfeseite (Automatische Umleitung),ACTIVE
AMZ_114,amazon,freebasics-21,Disclosure,Transparenz & Vertrauen,"Die Offenlegung gegenüber dem Publikum ist erforderlich, um Vertrauen zu schaffen und gesetzliche sowie programmseitige Vorgaben einzuhalten.",Links transparent und klar als Affiliate-Link deklarieren,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_115,amazon,freebasics-21,Disclosure,Link-Kennzeichnung (Social Media),"Jeder Partner-Link muss klar und auffällig in direkter Nähe des Links oder der Produktbewertung als Werbelink gekennzeichnet werden (z. B. durch „(bezahlter Link)“, „#Anzeige“ oder „#VerdientProvisionen“).",Werbe-Hinweis unmittelbar neben dem Link oder der Review platzieren,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_116,amazon,freebasics-21,Disclosure,Partner-Erklärung,Auf der Website bzw. in Verbindung mit dem Social-Media-Konto muss die vorgeschriebene Erklärung „Als Amazon-Partner verdiene ich an qualifizierten Verkäufen.“ klar und auffällig platziert werden.,Standard-Partnererklärung im Profil oder auf der Website einbinden,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_117,amazon,freebasics-21,Compliance,Plattform-Richtlinien,Zusätzlich zu den Amazon-Vorgaben müssen die Werberichtlinien der jeweiligen Social-Media-Plattformen (z. B. Nutzung von Branded Content Tools) sowie gesetzliche Vorgaben eingehalten werden.,Plattform-Tools zur Werbekennzeichnung nutzen und jeweilige Plattformregeln beachten,JA,NEIN,Amazon Hilfeseite (Ausweisung als Associate),ACTIVE
AMZ_118,amazon,freebasics-21,Content / IP,Fälschungsschutz,"Die Bewerbung von Fälschungen, gefälschten Produkten oder Produkten, die geistige Eigentumsrechte Dritter verletzen, ist strengstens verboten.",Bewerbung unechter oder schutzrechtsverletzender Produkte unterlassen,NEIN,JA,Amazon Fälschungsschutzrichtlinie,ACTIVE
AMZ_119,amazon,freebasics-21,Content / IP,Wording / Begriffe,"Begriffe wie „Duplikat“, „Fälschung“ oder „Nachahmung“ dürfen nicht in Verbindung mit Marken verwendet werden (z. B. verboten: „Duplikat einer Goodthreads-Handtasche“).",Verwendung von Fälschungsbegriffen in Verbindung mit Marken unterlassen,NEIN,JA,Amazon Fälschungsschutzrichtlinie,ACTIVE
AMZ_120,amazon,freebasics-21,Content / IP,Zulässiges Wording,"Zur Empfehlung ähnlicher Stile sind Formulierungen wie „den Look kaufen“, „inspiriert von“ und „ähnlich wie“ ausdrücklich gestattet.",Erlaubte Formulierungen für Stil-Vergleiche nutzen,NEIN,NEIN,Amazon Fälschungsschutzrichtlinie,ACTIVE
AMZ_121,amazon,freebasics-21,Compliance,Sanktionen,"Verstöße gegen die Fälschungsschutzrichtlinie können zur Kontosperrung, Einbehaltung von Geldern sowie zu weiteren rechtlichen Konsequenzen führen.","Fälschungsschutzrichtlinie einhalten, um Sanktionen zu vermeiden",JA,NEIN,Amazon Fälschungsschutzrichtlinie,ACTIVE
AMZ_122,amazon,freebasics-21,PR & Marketing,Pressemitteilungen,Pressemitteilungen dürfen keine Verweise auf Amazon.de in Bezug auf die Teilnahme am Partnerprogramm enthalten.,Verweise auf Amazon-Partnerschaften in Pressemitteilungen unterlassen,NEIN,JA,Amazon Hilfeseite (Pressemitteilungen),ACTIVE
AMZ_123,amazon,freebasics-21,Vergütung,Abwicklungsfrist,"Produkte müssen innerhalb von 180 Tagen nach dem Klick auf den Partnerlink versandt, gestreamt oder heruntergeladen und vom Kunden bezahlt worden sein, um vergütungsfähig zu sein.",Transaktionen innerhalb von 180 Tagen nach Klick abwickeln lassen,JA,NEIN,Vergütungsregeln-Update (Inkrafttreten 14. April 2026),ACTIVE
AMZ_124,amazon,freebasics-21,Vergütung / Marketing,Bezahlte Werbung,"Käufe von Kunden, die über bezahlte oder verstärkte Werbung weitergeleitet wurden, sind als disqualifizierte Käufe von der Vergütung ausgeschlossen.",Direktes Bewerkstelligen von Traffic/Links über bezahlte Werbeanzeigen unterlassen,NEIN,JA,Vergütungsregeln-Update (Inkrafttreten 14. April 2026),ACTIVE
AMZ_125,amazon,freebasics-21,Vergütung,Vor-Ort-Provision,"Vor-Ort-Provisionseinnahmen werden nur noch auf direkt qualifizierende Käufe der exakt identischen ASIN-Variante angewendet, die auf der verlinkten Produktdetailseite gezeigt wird.",Zielgerichtete Verlinkungen auf die genaue ASIN-Variante vornehmen,NEIN,NEIN,Vergütungsregeln-Update (Inkrafttreten 14. April 2026),ACTIVE
AMZ_126,amazon,freebasics-21,Content,Originalinhalte,"Veröffentlichte Inhalte müssen eigenständige Kommentare, Analysen oder inhaltliche Umwandlungen enthalten, um als originäre Inhalte einen Mehrwert zu bieten. Reine Linksammlungen oder automatische Inhalte sind unzulässig.",Redaktionellen Mehrwert und eigene Analysen/Inhalte bereitstellen,JA,NEIN,Vergütungsregeln-Update (Inkrafttreten 14. April 2026),ACTIVE
AMZ_127,amazon,freebasics-21,Content / Influencer,Influencer-Originalität,Die Anforderungen an Originalinhalte gelten verbindlich auch für Teilnehmer am Amazon Influencer-Programm (z. B. Storefronts).,Eigene Originalinhalte auf Influencer-Plattformen und Storefronts veröffentlichen,JA,NEIN,Vergütungsregeln-Update (Inkrafttreten 14. April 2026),ACTIVE
AMZ_128,amazon,freebasics-21,Auszahlung,Mindestbetrag,Für die monatliche Auszahlung der Affiliate-Provisionen muss ein Mindest-Auszahlungsbetrag von 25 Euro erreicht sein.,Erreichen der Auszahlungsgrenze von 25 Euro sicherstellen,JA,NEIN,Selecdoo Artikel (21. Dezember 2025),ACTIVE
AMZ_129,amazon,freebasics-21,Compliance,Impressumspflicht,Auf betriebenen Affiliate-Websites in Deutschland muss ein rechtssicheres und vollständiges Impressum vorhanden sein.,Impressum auf der Website bereitstellen,JA,NEIN,Selecdoo Artikel (21. Dezember 2025),ACTIVE
AMZ_130,amazon,freebasics-21,Compliance,Mindestaktivität,"Es muss innerhalb eines definierten Zeitraums eine Mindestanzahl an Verkäufen erzielt werden, um die Teilnahmevoraussetzungen des Amazon Affiliate Programms dauerhaft zu erfüllen.",Mindestanzahl an Qualifizierungsverkäufen generieren,JA,NEIN,Selecdoo Artikel (21. Dezember 2025),ACTIVE
AMZ_131,amazon,freebasics-21,Disclosure,Link-Kennzeichnung,"Jeder Affiliate-Link muss mit einem klaren und auffälligen Hinweis als bezahlter Link/Werbung gekennzeichnet werden (z. B. ""(bezahlter Link)"" oder ""#Anzeige"").",Werbekennzeichnung direkt am Link platzieren,JA,NEIN,KI-Übersicht (Amazon PartnerNet Regeln),ACTIVE
AMZ_132,amazon,freebasics-21,Content,Preise & Verfügbarkeit,"Preise und Verfügbarkeiten dürfen nicht statisch genannt werden, da sie schwanken. Falls Preise genannt werden, müssen diese exakt dem aktuellen Echtzeit-Stand von Amazon entsprechen.",Statische Preisangaben vermeiden oder Echtzeit-Schnittstellen (PA-API) verwenden,NEIN,JA,KI-Übersicht (Amazon PartnerNet Regeln),ACTIVE
AMZ_133,amazon,freebasics-21,Restriktion,Direktnachrichten & E-Mail,"Das Versenden von Affiliate-Links in privaten E-Mails, SMS, WhatsApp oder Telegram ist verboten.","Versand von Affiliate-Links über Messengerdienste, SMS und E-Mail unterlassen",NEIN,JA,KI-Übersicht (Amazon PartnerNet Regeln),ACTIVE
AMZ_134,amazon,freebasics-21,Transparency,Link-Maskierung,"URLs dürfen nicht so maskiert oder verkürzt werden, dass das Ziel Amazon für den Nutzer irreführend verborgen bleibt.",Links nur mit transparenter Zielangabe verkürzen oder masking unterlassen,NEIN,JA,KI-Übersicht (Amazon PartnerNet Regeln),ACTIVE
AMZ_135,amazon,freebasics-21,Tracking / Links,Formatierung & Tagging,"Alle Affiliate-Links müssen das vorgegebene Tag bzw. die Partner-ID (z. B. XXXXX-21) als URL-Parameter enthalten, damit Verkäufe zugeordnet werden können.",Partner-ID/Tag in allen Produktlinks einbinden,JA,NEIN,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_136,amazon,freebasics-21,Tracking / Links,Link-Kürzer,"Das Verwenden von Kurz-URL-Diensten, die das eigentliche Verlinkungsziel auf eine Amazon-Website verschleiern oder verbergen, ist untersagt.",Verschleiernde URL-Kürzer unterlassen,NEIN,JA,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_137,amazon,freebasics-21,Tracking / Links,Sub-Tags,"Sub-Tags dürfen nicht dynamisch einzelnen Endnutzern zugewiesen werden, um deren individutives Nutzerverhalten zu überwachen oder zu analysieren.",Dynamische Sub-Tag-Zuweisung an einzelne Nutzer unterlassen,NEIN,JA,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_138,amazon,freebasics-21,Content / Links,Produkt-Verlinkung,"Links, die für ein bestimmtes Produkt werben, müssen direkt auf die jeweilige Produktdetailseite auf der Amazon-Website führen.",Direkte Verlinkung auf die spezifische Produktdetailseite sicherstellen,JA,NEIN,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_139,amazon,freebasics-21,Content / Marketing,Befristete Aktionen,"Hinweise und Links zu zeitlich befristeten Angeboten, Rabatten oder Promotions müssen spätestens an/vor deren Ablaufdatum vollständig entfernt werden.",Befristete Rabatt- und Aktionshinweise rechtzeitig entfernen,JA,NEIN,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_140,amazon,freebasics-21,Content,Produktdaten & Genauigkeit,"Falsche, ungenaue, zu weit gefasste oder irreführende Angaben über Produkte, Preise, Aktionen oder Richtlinien von Amazon sind verboten.",Irreführende Produktangaben oder Spezifikationen unterlassen,NEIN,JA,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_141,amazon,freebasics-21,Content,Preis & Verfügbarkeit,"Preis- und Verfügbarkeitsangaben dürfen nur verwendet werden, wenn sie direkt über ein bereitgestelltes Amazon-Widget stammen oder per Produktwerbe-API unter Einhaltung der API-Lizenzvorgaben abgerufen werden.",Statische/manuelle Preis- und Verfügbarkeitsangaben ohne API-Anbindung unterlassen,NEIN,JA,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_142,amazon,freebasics-21,Content,Preisvergleich,Bei der Darstellung von Preisen in einheitlichen Preisvergleichs-Formaten müssen immer sowohl der niedrigste „Neu“-Preis als auch (sofern bereitgestellt) der niedrigste „Gebraucht“-Preis der Amazon-Website angegeben werden.,Sowohl Neu- als auch Gebrauchtpreis im Vergleichsformat ausweisen,JA,NEIN,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_143,amazon,freebasics-21,Technik / Links,Crawling & Dynamische Links,"Werden dynamische Produkt-Links genutzt, dürfen keine technischen Blockaden verwendet werden, die das Indizieren („Crawlen“) oder Überwachen der Website durch Amazon verhindern.",Technisches Blocking von Amazon-Crawlern bei Nutzung dynamischer Widgets vermeiden,NEIN,JA,Amazon EU-Partnerprogramm Anforderungen für Links,ACTIVE
AMZ_144,amazon,freebasics-21,Disclosure,Legal Compliance,Affiliate-Links müssen gegenüber dem Publikum klar und verständlich offengelegt werden; die Unterlassung von Offenlegungen verstößt gegen rechtliche Vorgaben (z. B. FTC) und kann zu Bußgeldern oder Strafen führen.,Klare und verständliche Offenlegung von Affiliate-Links bereitstellen,JA,NEIN,FTC / Impact Leitfaden,ACTIVE
AMZ_145,amazon,freebasics-21,Vergütung,Cookie-Laufzeit,"Provisionen werden für qualifizierte Käufe gewährt, bei denen der Nutzer den Artikel innerhalb eines 24-Stunden-Cookie-Fensters nach dem Klick in den Warenkorb legt.",Nutzer innerhalb der 24-Stunden-Cookie-Gültigkeit zum Ablegen im Warenkorb bewegen,NEIN,NEIN,Amazon PartnerNet / KI-Übersicht,ACTIVE
