article_id,product_id,title,slug,category,keyword,content,seo_title,meta_description,featured_image,related_products,related_landingpage,affiliate_link,asset_html,status,created_at,updated_at
ART_TC_003,TC_003,Kredit,kredit,Kredit,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Kredit</h2>

    <p>
    Hier finden Sie Informationen zu
    Kredit und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Kredit | Free Basics,Informationen zu Kredit.,,/produkte,/lp/TC_003,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=kredit,,ready,2026-07-19T16:05:59.577572,2026-07-19T16:05:59.577587
ART_TC_004,TC_004,Girokonto,girokonto,Girokonto,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Girokonto</h2>

    <p>
    Hier finden Sie Informationen zu
    Girokonto und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Girokonto | Free Basics,Informationen zu Girokonto.,,/produkte,/lp/TC_004,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=girokonto,,ready,2026-07-19T16:05:59.807972,2026-07-19T16:05:59.807995
ART_TC_005,TC_005,Baufinanzierung,baufinanzierung,Baufinanzierung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Baufinanzierung</h2>

    <p>
    Hier finden Sie Informationen zu
    Baufinanzierung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Baufinanzierung | Free Basics,Informationen zu Baufinanzierung.,,/produkte,/lp/TC_005,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=baufinanzierung,,ready,2026-07-19T16:06:00.084314,2026-07-19T16:06:00.084326
ART_TC_006,TC_006,Hausratversicherung,hausratversicherung,Versicherung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Hausratversicherung</h2>

    <p>
    Hier finden Sie Informationen zu
    Hausratversicherung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Hausratversicherung | Free Basics,Informationen zu Hausratversicherung.,,/produkte,/lp/TC_006,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=hausratversicherung,,ready,2026-07-19T16:06:00.350141,2026-07-19T16:06:00.350155
ART_TC_007,TC_007,Haftpflichtversicherung,haftpflichtversicherung,Versicherung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Haftpflichtversicherung</h2>

    <p>
    Hier finden Sie Informationen zu
    Haftpflichtversicherung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Haftpflichtversicherung | Free Basics,Informationen zu Haftpflichtversicherung.,,/produkte,/lp/TC_007,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=haftpflichtversicherung,,ready,2026-07-19T16:06:00.611693,2026-07-19T16:06:00.611705
ART_TC_008,TC_008,Rentenversicherung,rentenversicherung,Vorsorge,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Rentenversicherung</h2>

    <p>
    Hier finden Sie Informationen zu
    Rentenversicherung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Rentenversicherung | Free Basics,Informationen zu Rentenversicherung.,,/produkte,/lp/TC_008,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=rentenversicherung,,ready,2026-07-19T16:06:00.898402,2026-07-19T16:06:00.898416
ART_TC_009,TC_009,Private Krankenversicherung,private-krankenversicherung,Versicherung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Private Krankenversicherung</h2>

    <p>
    Hier finden Sie Informationen zu
    Private Krankenversicherung und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Private Krankenversicherung | Free Basics,Informationen zu Private Krankenversicherung.,,/produkte,/lp/TC_009,https://a.partner-versicherung.de/click.php?partner_id=165274&ad_id=15&deep=private-krankenversicherung,,ready,2026-07-19T16:06:01.123642,2026-07-19T16:06:01.123655
ART_B0FQF32239,B0FQF32239,Apple AirPods Pro 3 Kabellose In-Ear Kopfhörer,apple-airpods-pro-3-kabellose-in-ear-kopfh-rer,Bluetooth-Kopfhörer,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Apple AirPods Pro 3 Kabellose In-Ear Kopfhörer</h2>

    <p>
    Hier finden Sie Informationen zu
    Apple AirPods Pro 3 Kabellose In-Ear Kopfhörer und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Apple AirPods Pro 3 Kabellose In-Ear Kopfhörer | Free Basics,Informationen zu Apple AirPods Pro 3 Kabellose In-Ear Kopfhörer.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FQF32239_original.jpg,/produkte,/lp/B0FQF32239,https://www.amazon.de/gp/product/B0FQF32239?smid=A3JWKAKR8XB7XF&psc=1&linkCode=ll2&tag=freebasics-21&linkId=44049d07107531e7ad6d6dfe2f054065&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:01.393748,2026-07-19T16:06:01.393761
ART_B0CFPWLGF2,B0CFPWLGF2,Amazon Kindle Paperwhite neueste Generation 16 GB ohne Werbung schwarz,amazon-kindle-paperwhite-neueste-generation-16-gb-ohne-werbung-schwarz,E-Reader,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Amazon Kindle Paperwhite neueste Generation 16 GB ohne Werbung schwarz</h2>

    <p>
    Hier finden Sie Informationen zu
    Amazon Kindle Paperwhite neueste Generation 16 GB ohne Werbung schwarz und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Amazon Kindle Paperwhite neueste Generation 16 GB ohne Werbung schwarz | Free Basics,Informationen zu Amazon Kindle Paperwhite neueste Generation 16 GB ohne Werbung schwarz.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0CFPWLGF2_original.jpg,/produkte,/lp/B0CFPWLGF2,https://www.amazon.de/gp/product/B0CFPWLGF2?smid=A3JWKAKR8XB7XF&th=1&linkCode=ll2&tag=freebasics-21&linkId=44d0788340e0256001696d3ece88528d&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:01.624625,2026-07-19T16:06:01.624638
ART_B0DFYN8174,B0DFYN8174,Philips OneBlade Intimate Intimrasur Trimmen und Rasieren mit extra Hautschutz Modell QP1924/30,philips-oneblade-intimate-intimrasur-trimmen-und-rasieren-mit-extra-hautschutz-modell-qp1924-30,Körperpflege & Elektrorasierer,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Philips OneBlade Intimate Intimrasur Trimmen und Rasieren mit extra Hautschutz Modell QP1924/30</h2>

    <p>
    Hier finden Sie Informationen zu
    Philips OneBlade Intimate Intimrasur Trimmen und Rasieren mit extra Hautschutz Modell QP1924/30 und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Philips OneBlade Intimate Intimrasur Trimmen und Rasieren mit extra Hautschutz Modell QP1924/30 | Free Basics,Informationen zu Philips OneBlade Intimate Intimrasur Trimmen und Rasieren mit extra Hautschutz Modell QP1924/30.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0DFYN8174_original.jpg,/produkte,/lp/B0DFYN8174,https://www.amazon.de/gp/product/B0DFYN8174?smid=A3JWKAKR8XB7XF&psc=1&linkCode=ll2&tag=freebasics-21&linkId=f29cec1e2851f7a806babd846a9ddfc4&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:01.888499,2026-07-19T16:06:01.888511
ART_B0FPXFBL13,B0FPXFBL13,LEGO Editions Lionel Messi Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur,lego-editions-lionel-messi-fu-ball-highlights-spielzeug-3d-modellbau-mit-minifigur,Bauspielzeugsets,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>LEGO Editions Lionel Messi Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur</h2>

    <p>
    Hier finden Sie Informationen zu
    LEGO Editions Lionel Messi Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",LEGO Editions Lionel Messi Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur | Free Basics,Informationen zu LEGO Editions Lionel Messi Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FPXFBL13_original.jpg,/produkte,/lp/B0FPXFBL13,https://www.amazon.de/gp/product/B0FPXFBL13?smid=A3JWKAKR8XB7XF&th=1&linkCode=ll2&tag=freebasics-21&linkId=06fcb046b24b9cd38f1784f7219533ca&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:02.177732,2026-07-19T16:06:02.177744
ART_B0FPXDCDX2,B0FPXDCDX2,LEGO Editions Kylian Mbappé Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur,lego-editions-kylian-mbapp-fu-ball-highlights-spielzeug-3d-modellbau-mit-minifigur,Bauspielzeugsets,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>LEGO Editions Kylian Mbappé Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur</h2>

    <p>
    Hier finden Sie Informationen zu
    LEGO Editions Kylian Mbappé Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",LEGO Editions Kylian Mbappé Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur | Free Basics,Informationen zu LEGO Editions Kylian Mbappé Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FPXDCDX2_original.jpg,/produkte,/lp/B0FPXDCDX2,https://www.amazon.de/gp/product/B0FPXDCDX2?smid=A3JWKAKR8XB7XF&th=1&linkCode=ll2&tag=freebasics-21&linkId=5af01d4132de4d9c81c7b720665a5974&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:02.886779,2026-07-19T16:06:02.886792
ART_B0FPXGJL6H,B0FPXGJL6H,LEGO Editions Cristiano Ronaldo Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur,lego-editions-cristiano-ronaldo-fu-ball-highlights-spielzeug-3d-modellbau-mit-minifigur,Bauspielzeugsets,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>LEGO Editions Cristiano Ronaldo Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur</h2>

    <p>
    Hier finden Sie Informationen zu
    LEGO Editions Cristiano Ronaldo Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",LEGO Editions Cristiano Ronaldo Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur | Free Basics,Informationen zu LEGO Editions Cristiano Ronaldo Fußball-Highlights Spielzeug 3D Modellbau mit Minifigur.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FPXGJL6H_original.jpg,/produkte,/lp/B0FPXGJL6H,https://www.amazon.de/gp/product/B0FPXGJL6H?smid=A3JWKAKR8XB7XF&th=1&linkCode=ll2&tag=freebasics-21&linkId=38c487ba09e0fd7845e695ad0cd319e7&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:03.132866,2026-07-19T16:06:03.132879
ART_B0FPXDRR63,B0FPXDRR63,LEGO Editions Sports Offizieller Pokal der FIFA Fußball-Weltmeisterschaft 3D DIY Modell mit Minifigur 43020,lego-editions-sports-offizieller-pokal-der-fifa-fu-ball-weltmeisterschaft-3d-diy-modell-mit-minifigur-43020,Bauspielzeugsets,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>LEGO Editions Sports Offizieller Pokal der FIFA Fußball-Weltmeisterschaft 3D DIY Modell mit Minifigur 43020</h2>

    <p>
    Hier finden Sie Informationen zu
    LEGO Editions Sports Offizieller Pokal der FIFA Fußball-Weltmeisterschaft 3D DIY Modell mit Minifigur 43020 und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",LEGO Editions Sports Offizieller Pokal der FIFA Fußball-Weltmeisterschaft 3D DIY Modell mit Minifigur 43020 | Free Basics,Informationen zu LEGO Editions Sports Offizieller Pokal der FIFA Fußball-Weltmeisterschaft 3D DIY Modell mit Minifigur 43020.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FPXDRR63_original.jpg,/produkte,/lp/B0FPXDRR63,https://www.amazon.de/gp/product/B0FPXDRR63?smid=A3JWKAKR8XB7XF&th=1&linkCode=ll2&tag=freebasics-21&linkId=0a52b5924b86de2297fba57c9ae1b02b&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:03.383285,2026-07-19T16:06:03.383298
ART_3424631078,3424631078,Das Kind in dir muss Heimat finden Der Schlüssel zur Lösung fast aller Probleme,das-kind-in-dir-muss-heimat-finden-der-schl-ssel-zur-l-sung-fast-aller-probleme,Bücher - Psychologie & Persönlichkeitsentwicklung,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Das Kind in dir muss Heimat finden Der Schlüssel zur Lösung fast aller Probleme</h2>

    <p>
    Hier finden Sie Informationen zu
    Das Kind in dir muss Heimat finden Der Schlüssel zur Lösung fast aller Probleme und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Das Kind in dir muss Heimat finden Der Schlüssel zur Lösung fast aller Probleme | Free Basics,Informationen zu Das Kind in dir muss Heimat finden Der Schlüssel zur Lösung fast aller Probleme.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/3424631078_original.jpg,/produkte,/lp/3424631078,https://www.amazon.de/gp/product/3424631078?smid=A1JC316NLNMF97&psc=1&linkCode=ll2&tag=freebasics-21&linkId=3230f2a54418561cda1437a62636751a&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:03.638022,2026-07-19T16:06:03.638035
ART_B0FNX7HC9M,B0FNX7HC9M,Sebastian Fitzek Thriller-Bundle Der Augensammler und Der Augenjäger Bestseller-Psychothriller im Set,sebastian-fitzek-thriller-bundle-der-augensammler-und-der-augenj-ger-bestseller-psychothriller-im-set,Bücher - Psychothriller,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Sebastian Fitzek Thriller-Bundle Der Augensammler und Der Augenjäger Bestseller-Psychothriller im Set</h2>

    <p>
    Hier finden Sie Informationen zu
    Sebastian Fitzek Thriller-Bundle Der Augensammler und Der Augenjäger Bestseller-Psychothriller im Set und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Sebastian Fitzek Thriller-Bundle Der Augensammler und Der Augenjäger Bestseller-Psychothriller im Set | Free Basics,Informationen zu Sebastian Fitzek Thriller-Bundle Der Augensammler und Der Augenjäger Bestseller-Psychothriller im Set.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/B0FNX7HC9M_original.jpg,/produkte,/lp/B0FNX7HC9M,https://www.amazon.de/gp/product/B0FNX7HC9M?smid=AL5JXES37EDG7&psc=1&linkCode=ll2&tag=freebasics-21&linkId=411dad09febceb05b8d53957ad711075&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:03.876909,2026-07-19T16:06:03.876923
ART_3423209690,3423209690,Das Café am Rande der Welt Eine Erzählung über den Sinn des Lebens,das-caf-am-rande-der-welt-eine-erz-hlung-ber-den-sinn-des-lebens,Bücher - Persönlichkeitsentwicklung & Lebenshilfe,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Das Café am Rande der Welt Eine Erzählung über den Sinn des Lebens</h2>

    <p>
    Hier finden Sie Informationen zu
    Das Café am Rande der Welt Eine Erzählung über den Sinn des Lebens und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Das Café am Rande der Welt Eine Erzählung über den Sinn des Lebens | Free Basics,Informationen zu Das Café am Rande der Welt Eine Erzählung über den Sinn des Lebens.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/3423209690_original.jpg,/produkte,/lp/3423209690,https://www.amazon.de/gp/product/3423209690?smid=A3JWKAKR8XB7XF&psc=1&linkCode=ll2&tag=freebasics-21&linkId=79007b57baece76e191e2663d00af73c&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:04.103194,2026-07-19T16:06:04.103207
ART_3832167242,3832167242,22 Bahnen Roman Lieblingsbuch 2023,22-bahnen-roman-lieblingsbuch-2023,Bücher - Roman & Gegenwartsliteratur,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>22 Bahnen Roman Lieblingsbuch 2023</h2>

    <p>
    Hier finden Sie Informationen zu
    22 Bahnen Roman Lieblingsbuch 2023 und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",22 Bahnen Roman Lieblingsbuch 2023 | Free Basics,Informationen zu 22 Bahnen Roman Lieblingsbuch 2023.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/3832167242_original.jpg,/produkte,/lp/3832167242,https://www.amazon.de/gp/product/3832167242?smid=A3JWKAKR8XB7XF&psc=1&linkCode=ll2&tag=freebasics-21&linkId=6b3e47793fe11a33da23977f37721e53&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:04.334304,2026-07-19T16:06:04.334317
ART_3426281759,3426281759,Der Nachbar Psychothriller,der-nachbar-psychothriller,Bücher - Psychothriller,,"
    <p><strong>Werbung / Anzeige:</strong>
    Diese Seite enthält Affiliate-Links.</p>

    <h2>Der Nachbar Psychothriller</h2>

    <p>
    Hier finden Sie Informationen zu
    Der Nachbar Psychothriller und wichtigen Eigenschaften
    dieses Produkts.
    </p>

    <p>
    Weitere Informationen und passende
    Angebote finden Sie auf der
    Produktseite.
    </p>
    ",Der Nachbar Psychothriller | Free Basics,Informationen zu Der Nachbar Psychothriller.,/content/drive/MyDrive/AI_Agent/bilder/produkte/amazon/3426281759_original.jpg,/produkte,/lp/3426281759,https://www.amazon.de/gp/product/3426281759?smid=AQJOK2ISQB5Q5&psc=1&linkCode=ll2&tag=freebasics-21&linkId=d964d6eb9b49e87def7735dbf9b7913c&ref_=as_li_ss_tl,,ready,2026-07-19T16:06:04.569456,2026-07-19T16:06:04.569469
