section_no,section_id,section_code,section_name,section_mandatory,field_position,field_id,field_name,label,description,required,data_type,source,partner_scope,seo_relevant,schema_relevant,compliance_relevant,accessibility_relevant,translation_relevant,ai_generated,editable,validation_rule,default_value,status,version,updated_at
3,MLP_SECTION_03,BCR,Breadcrumbs,True,7,BCR_007,level_1_url,Level 1 Url,URL der Startseite,YES,URL,Config,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,8,BCR_008,level_2_name,Level 2 Name,Hauptkategorie,YES,String,Category Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,9,BCR_009,level_2_url,Level 2 Url,URL der Hauptkategorie,YES,URL,Category Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,10,BCR_010,level_3_name,Level 3 Name,Unterkategorie,NO,String,Category Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,11,BCR_011,level_3_url,Level 3 Url,URL der Unterkategorie,NO,URL,Category Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,12,BCR_012,current_page_name,Current Page Name,Aktuelle Seite,YES,String,Landingpage Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,13,BCR_013,current_page_url,Current Page Url,URL der aktuellen Seite,YES,URL,Landingpage Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,14,BCR_014,schema_enabled,Schema Enabled,BreadcrumbList erzeugen,YES,Boolean,Schema Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,15,BCR_015,schema_json,Schema Json,JSON-LD BreadcrumbList,YES,JSON,Schema Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,16,BCR_016,visible_on_page,Visible On Page,Sichtbar für Besucher,YES,Boolean,Layout Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,17,BCR_017,crawl_priority,Crawl Priority,Crawl-Priorität,NO,Integer,SEO Engine,ALL,True,True,False,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,18,BCR_018,internal_link_score,Internal Link Score,Interne Linkbewertung,NO,Decimal,SEO Engine,ALL,True,True,False,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,19,BCR_019,validation_status,Validation Status,"VALID, WARNING oder ERROR",YES,Enum,Quality Engine,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
3,MLP_SECTION_03,BCR,Breadcrumbs,True,20,BCR_020,status,Status,"ACTIVE, REVIEW oder DISABLED",YES,Enum,System,ALL,True,True,False,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,1,ADV_001,disclosure_id,Disclosure Id,Eindeutige Kennzeichnungs-ID,YES,String,System,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,2,ADV_002,advertising_label,Advertising Label,Werbung oder Anzeige,YES,String,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,3,ADV_003,disclosure_text,Disclosure Text,Standard-Hinweistext,YES,Text,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,4,ADV_004,disclosure_position,Disclosure Position,Position der Kennzeichnung,YES,Enum,Layout Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,5,ADV_005,disclosure_visible,Disclosure Visible,Sichtbar für Besucher,YES,Boolean,System,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,6,ADV_006,disclosure_mobile,Disclosure Mobile,Mobil sichtbar,YES,Boolean,Layout Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,7,ADV_007,disclosure_desktop,Disclosure Desktop,Desktop sichtbar,YES,Boolean,Layout Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,8,ADV_008,affiliate_links_present,Affiliate Links Present,Affiliate-Links vorhanden,YES,Boolean,Link Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,9,ADV_009,affiliate_network,Affiliate Network,"Amazon, Check24, Tarifcheck, Telekom oder sonstige",YES,Enum,Product Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,10,ADV_010,partner_notice,Partner Notice,Partnerbezogener Hinweis,NO,Text,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,11,ADV_011,transparency_text,Transparency Text,Transparenz über Vergütung,YES,Text,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,12,ADV_012,external_provider_notice,External Provider Notice,Hinweis auf externen Anbieter,YES,Boolean,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,13,ADV_013,freebasics_role,Freebasics Role,Tippgeber oder Informationsportal,YES,Enum,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,14,ADV_014,provider_name,Provider Name,Tatsächlicher Anbieter,YES,String,Product Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,15,ADV_015,legal_basis,Legal Basis,Interner Rechtsgrundlagenverweis,NO,String,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,16,ADV_016,compliance_status,Compliance Status,"VALID, WARNING oder ERROR",YES,Enum,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,17,ADV_017,last_compliance_check,Last Compliance Check,Letzte Prüfung,YES,Datetime,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,18,ADV_018,compliance_version,Compliance Version,Regelversion,YES,String,Compliance Engine,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,19,ADV_019,auto_generated,Auto Generated,Automatisch eingefügt,YES,Boolean,System,ALL,False,False,True,False,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
4,MLP_SECTION_04,ADV,Werbekennzeichnung,True,20,ADV_020,locked,Locked,Darf nicht entfernt werden,YES,Boolean,System,ALL,False,False,True,False,True,False,False,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,1,HERO_001,hero_id,Hero Id,Eindeutige Hero-ID,YES,String,System,ALL,True,True,True,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,2,HERO_002,hero_variant,Hero Variant,Hero-Layoutvariante,YES,Enum,Template Engine,ALL,True,True,True,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,3,HERO_003,hero_h1,Hero H1,Hauptüberschrift,YES,String,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,4,HERO_004,hero_subheadline,Hero Subheadline,Unterüberschrift,NO,String,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,5,HERO_005,hero_intro,Hero Intro,Kurze Einleitung,YES,Text,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,6,HERO_006,hero_summary,Hero Summary,Zusammenfassung des Angebots,YES,Text,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,7,HERO_007,hero_primary_cta,Hero Primary Cta,Primärer CTA-Text,YES,String,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,8,HERO_008,hero_primary_cta_url,Hero Primary Cta Url,Ziel des primären CTA,YES,URL,Link Engine,ALL,True,True,True,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,9,HERO_009,hero_secondary_cta,Hero Secondary Cta,Sekundärer CTA,NO,String,Content Engine,ALL,True,True,True,True,True,True,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,10,HERO_010,hero_secondary_cta_url,Hero Secondary Cta Url,Ziel des sekundären CTA,NO,URL,Link Engine,ALL,True,True,True,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
5,MLP_SECTION_05,HERO,Hero-Bereich,True,11,HERO_011,hero_image_url,Hero Image Url,Hero-Bild,NO,URL,Asset Engine,ALL,True,True,True,True,True,False,True,,,ACTIVE,1.0.0,2026-07-17T00:00:00+02:00
